lad22cd,lad22nm,i.lad22nm,category,count_21
E09000030,Tower Hamlets,Tower Hamlets,Married: Opposite sex,78414
E09000030,Tower Hamlets,Tower Hamlets,Married: Same sex,1452
E09000030,Tower Hamlets,Tower Hamlets,In a registered civil partnership: Opposite sex,308
E09000030,Tower Hamlets,Tower Hamlets,In a registered civil partnership: Same sex,781
E09000030,Tower Hamlets,Tower Hamlets,"Separated, but still married",4930
E09000030,Tower Hamlets,Tower Hamlets,"Separated, but still in a registered civil partnership",83
E09000030,Tower Hamlets,Tower Hamlets,Divorced,12561
E09000030,Tower Hamlets,Tower Hamlets,Formerly in a civil partnership now legally dissolved,177
E09000030,Tower Hamlets,Tower Hamlets,Widowed,6757
E09000030,Tower Hamlets,Tower Hamlets,Surviving partner from civil partnership,30
E09000031,Waltham Forest,Waltham Forest,Never married and never registered a civil partnership,104046
E09000031,Waltham Forest,Waltham Forest,Married: Opposite sex,86231
E09000031,Waltham Forest,Waltham Forest,Married: Same sex,1056
E09000031,Waltham Forest,Waltham Forest,In a registered civil partnership: Opposite sex,238
E09000031,Waltham Forest,Waltham Forest,In a registered civil partnership: Same sex,449
E09000031,Waltham Forest,Waltham Forest,"Separated, but still married",5259
E09000031,Waltham Forest,Waltham Forest,"Separated, but still in a registered civil partnership",73
E09000031,Waltham Forest,Waltham Forest,Divorced,16330
E09000031,Waltham Forest,Waltham Forest,Formerly in a civil partnership now legally dissolved,92
E09000031,Waltham Forest,Waltham Forest,Widowed,8379
E09000031,Waltham Forest,Waltham Forest,Surviving partner from civil partnership,28
E09000032,Wandsworth,Wandsworth,Never married and never registered a civil partnership,152679
E09000032,Wandsworth,Wandsworth,Married: Opposite sex,87722
E09000032,Wandsworth,Wandsworth,Married: Same sex,1274
E09000032,Wandsworth,Wandsworth,In a registered civil partnership: Opposite sex,319
E09000032,Wandsworth,Wandsworth,In a registered civil partnership: Same sex,926
E09000032,Wandsworth,Wandsworth,"Separated, but still married",4881
E09000032,Wandsworth,Wandsworth,"Separated, but still in a registered civil partnership",77
E09000032,Wandsworth,Wandsworth,Divorced,17310
E09000032,Wandsworth,Wandsworth,Formerly in a civil partnership now legally dissolved,132
E09000032,Wandsworth,Wandsworth,Widowed,8197
E09000032,Wandsworth,Wandsworth,Surviving partner from civil partnership,41
E09000033,Westminster,Westminster,Never married and never registered a civil partnership,96552
E09000033,Westminster,Westminster,Married: Opposite sex,55198
E09000033,Westminster,Westminster,Married: Same sex,1044
E09000033,Westminster,Westminster,In a registered civil partnership: Opposite sex,176
E09000033,Westminster,Westminster,In a registered civil partnership: Same sex,683
E09000033,Westminster,Westminster,"Separated, but still married",4035
E09000033,Westminster,Westminster,"Separated, but still in a registered civil partnership",143
E09000033,Westminster,Westminster,Divorced,13454
E09000033,Westminster,Westminster,Formerly in a civil partnership now legally dissolved,93
E09000033,Westminster,Westminster,Widowed,6025
E09000033,Westminster,Westminster,Surviving partner from civil partnership,64
